country_name,year,UMAP1,UMAP2,region
Mozambique,2015,0.20093591547392242,0.8667736364910508,Sub-Saharan Africa
Mozambique,2025,1.154390812281593,-0.3613080070903396,Sub-Saharan Africa
Nepal,1975,2.7332815680541835,-2.363737134783516,East Asia & Pacific
Nepal,1985,2.9084736857452236,-2.101335792391548,East Asia & Pacific
Nepal,1995,1.1435333046951137,1.330524811000576,East Asia & Pacific
Nepal,2005,1.3996179554500423,1.0365683151791,East Asia & Pacific
Nepal,2015,0.4297077808418118,2.055741639287224,East Asia & Pacific
Nepal,2025,0.29367585516355865,2.5131439878055954,East Asia & Pacific
Nicaragua,1975,3.8631248030700527,-1.9078591154506301,Latin America & Caribbean
Nicaragua,1985,1.7478460822143398,-0.3139585541179275,Latin America & Caribbean
Nicaragua,1995,1.6435139927902065,3.719270439297905,Latin America & Caribbean
Nicaragua,2005,1.9838557395973049,3.4303786470005417,Latin America & Caribbean
Nicaragua,2015,1.4357004616298519,-0.8640444563319778,Latin America & Caribbean
Nicaragua,2025,4.173934176925644,-3.3156097219874954,Latin America & Caribbean
Niger,1975,2.1306310448684536,-2.4855723665645217,Sub-Saharan Africa
Niger,1985,2.0813269171752773,-2.466614274828682,Sub-Saharan Africa
Niger,1995,1.8798370513954006,1.3547915233681107,Sub-Saharan Africa
Niger,2005,1.9005967531242214,1.4225724948952103,Sub-Saharan Africa
Niger,2015,1.878615692619308,1.5755011452743912,Sub-Saharan Africa
Niger,2025,1.8643612418212734,1.2535056485245133,Sub-Saharan Africa
Zambia,1975,0.34854812956236236,-0.18739035591388697,Sub-Saharan Africa
Zambia,1985,0.32632501459501617,-0.10850933059955592,Sub-Saharan Africa
Zambia,1995,0.31528957224272125,1.4858341528484726,Sub-Saharan Africa
Zambia,2005,0.24326445198438995,1.6225916458675766,Sub-Saharan Africa
Zambia,2015,0.30926384067915313,1.4314945502588654,Sub-Saharan Africa
Zambia,2025,0.42226453161619537,1.5227996422359849,Sub-Saharan Africa
Zimbabwe,1975,3.3621971163787685,-1.7367165373256301,Sub-Saharan Africa
Zimbabwe,1985,0.8388842794933163,0.024563164860954334,Sub-Saharan Africa
Zimbabwe,1995,0.998139732878729,-0.15039244159961696,Sub-Saharan Africa
Zimbabwe,2005,1.0934515301027141,-0.23184481128955836,Sub-Saharan Africa
Zimbabwe,2015,1.0484119359292827,-0.22856369480396266,Sub-Saharan Africa
Zimbabwe,2025,1.1194830391445003,-0.33613231643939967,Sub-Saharan Africa
Guinea,1975,4.331619218353256,-3.330649165957222,Sub-Saharan Africa
Guinea,1985,2.7461136136092983,-2.669329194872627,Sub-Saharan Africa
Guinea,1995,2.948564604286178,-0.7552811191966629,Sub-Saharan Africa
Guinea,2005,3.0868835005798183,-0.7246302650859451,Sub-Saharan Africa
Guinea,2015,3.0609466586150966,-0.35676565632129664,Sub-Saharan Africa
Guinea,2025,3.06053443289183,-0.5934371040752029,Sub-Saharan Africa
Ivory Coast,1975,2.0031090531387172,-1.7829232500484085,Sub-Saharan Africa
Ivory Coast,1985,1.9871397767104946,-1.7289877222468948,Sub-Saharan Africa
Ivory Coast,1995,2.524875358108505,0.7220945371696854,Sub-Saharan Africa
Ivory Coast,2005,2.300437406066879,1.152042237521162,Sub-Saharan Africa
Ivory Coast,2015,2.1415032897033535,1.2713380022356415,Sub-Saharan Africa
Ivory Coast,2025,2.257438376907333,1.1588754816362763,Sub-Saharan Africa
Mauritania,1975,2.5274071249999843,-1.6161663816859817,Sub-Saharan Africa
Mauritania,1985,2.764391616348251,-2.3971088217189407,Sub-Saharan Africa
Mauritania,1995,2.7863457951583706,-1.1885552690913772,Sub-Saharan Africa
Mauritania,2005,2.6828423295059047,-1.0095072077205276,Sub-Saharan Africa
Mauritania,2015,2.6897258315124355,-0.9884288595607376,Sub-Saharan Africa
Mauritania,2025,2.5999086651840053,-0.9613807485988235,Sub-Saharan Africa
Canada,1975,-6.068819090362564,0.5533276511738205,W. Europe & N. America
Canada,1985,-5.886688276763931,0.5308804227421189,W. Europe & N. America
Canada,1995,-5.921293779846207,0.46924415364955907,W. Europe & N. America
Canada,2005,-5.827534243103043,0.6407008482525254,W. Europe & N. America
Canada,2015,-5.9478226151428375,0.49669352308010106,W. Europe & N. America
Canada,2025,-5.96366982125856,0.4795985533306504,W. Europe & N. America
Australia,1975,-6.249497934814468,0.8834800733635331,W. Europe & N. America
Australia,1985,-6.227311178680435,0.8942739380905533,W. Europe & N. America
Australia,1995,-6.352504297729507,0.8973235501358414,W. Europe & N. America
Australia,2005,-6.3136415924987945,0.8597528649876023,W. Europe & N. America
Australia,2015,-5.94619516992189,0.7889980687210465,W. Europe & N. America
Australia,2025,-6.010285898681656,0.6481319381306077,W. Europe & N. America
Botswana,1975,-0.15360872411347992,2.341318698079338,Sub-Saharan Africa
Botswana,1985,-0.17822162770845063,2.324953885228386,Sub-Saharan Africa
Botswana,1995,-0.17714981698609955,2.240566940457573,Sub-Saharan Africa
Botswana,2005,-0.28227369451142914,2.3045327378818894,Sub-Saharan Africa
Botswana,2015,-0.2669016566238559,2.2653951360294724,Sub-Saharan Africa
Botswana,2025,-0.10806767606355316,2.20737925306057,Sub-Saharan Africa
Burundi,1975,1.8007602844276271,-2.4721939848353958,Sub-Saharan Africa
Burundi,1985,1.5379871282615505,-2.5048640058925247,Sub-Saharan Africa
Burundi,1995,2.1475675854720913,-0.23890510067249293,Sub-Saharan Africa
Burundi,2005,2.0965389761962734,-0.39807501301074977,Sub-Saharan Africa
Burundi,2015,3.027960494522079,-1.2850544737269973,Sub-Saharan Africa
Burundi,2025,1.5563103709258876,-2.0354309366633987,Sub-Saharan Africa
Cape Verde,1975,-0.26928751134492523,-0.7021388100078201,Sub-Saharan Africa
Cape Verde,1985,-0.3887864794693149,-0.5227170275142288,Sub-Saharan Africa
Cape Verde,1995,-1.5360744442901768,1.750238628537407,Sub-Saharan Africa
Cape Verde,2005,-1.4825170483551182,1.6855910433838273,Sub-Saharan Africa
Cape Verde,2015,-1.4530868973694004,1.7297090007374192,Sub-Saharan Africa
Cape Verde,2025,-1.3783691372833409,1.6803836537907029,Sub-Saharan Africa
Central African Republic,1975,2.834254816535934,-2.8483031080653762,Sub-Saharan Africa
Central African Republic,1985,2.4931557927169643,-2.518466262667427,Sub-Saharan Africa
Central African Republic,1995,2.788178280357345,0.084455461652031,Sub-Saharan Africa
Central African Republic,2005,2.9526230845489345,-0.28017285331989283,Sub-Saharan Africa
Central African Republic,2015,3.0813674483337246,-0.12197032436634059,Sub-Saharan Africa
Central African Republic,2025,3.327241853240951,-0.3491802500178909,Sub-Saharan Africa
Chile,1975,2.555233434204086,-2.7598068998744583,Latin America & Caribbean
Chile,1985,2.3437625918426357,-2.756463079302559,Latin America & Caribbean
Chile,1995,-4.988672300811783,0.15031585231517797,Latin America & Caribbean
Chile,2005,-4.998004003997818,0.09253081813549047,Latin America & Caribbean
Chile,2015,-5.074486299987808,0.051403494031181385,Latin America & Caribbean
Chile,2025,-5.062746569152847,0.0213916017124558,Latin America & Caribbean
Costa Rica,1975,-4.9299979653320465,-0.5717953728129959,Latin America & Caribbean
Costa Rica,1985,-5.0276942696533355,-0.5204052017619705,Latin America & Caribbean
Costa Rica,1995,-5.065109774108902,-0.5001265095164871,Latin America & Caribbean
Costa Rica,2005,-5.061301752563492,-0.43816187843585963,Latin America & Caribbean
Costa Rica,2015,-4.996325537200943,-0.48824480041767115,Latin America & Caribbean
Costa Rica,2025,-5.025847002502457,-0.42900434002185817,Latin America & Caribbean
Timor-Leste,1975,3.702720836166366,-2.023134975283394,East Asia & Pacific
Timor-Leste,1985,3.677778438095077,-2.3443086431911087,East Asia & Pacific
Timor-Leste,1995,3.5659837279357753,-2.2293975637843704,East Asia & Pacific
Timor-Leste,2005,-0.9460210051498569,1.7473236037800217,East Asia & Pacific
Timor-Leste,2015,-1.0689886059723057,1.6581549061844254,East Asia & Pacific
Timor-Leste,2025,-1.0615644898376622,1.7763012363026047,East Asia & Pacific
Ecuador,1975,2.4427595887222133,-0.12784913048053737,Latin America & Caribbean
Ecuador,1985,2.2028667483367763,3.373771639020195,Latin America & Caribbean
Ecuador,1995,2.055877760414108,3.4998712255070115,Latin America & Caribbean
Ecuador,2005,1.9578383121528469,3.521487922818413,Latin America & Caribbean
Ecuador,2015,1.8297033462562404,3.4951455308506394,Latin America & Caribbean
Ecuador,2025,2.136277750495895,3.358031721265068,Latin America & Caribbean
France,1975,-5.106155439849869,0.7448482228824997,W. Europe & N. America
France,1985,-5.005575701232925,0.8216997696468735,W. Europe & N. America
France,1995,-5.031725927825943,0.7963557852814103,W. Europe & N. America
France,2005,-5.005209013458267,0.825469226987114,W. Europe & N. America
France,2015,-5.029701754089371,0.8015129579613114,W. Europe & N. America
France,2025,-5.005555197235123,0.8433114899704361,W. Europe & N. America
Germany,1975,-7.71847300195314,2.222138257176628,W. Europe & N. America
Germany,1985,-7.914984270568863,2.2024588300297165,W. Europe & N. America
Germany,1995,-7.835533663269058,2.236968727261772,W. Europe & N. America
Germany,2005,-7.928988024230972,2.265661688000908,W. Europe & N. America
Germany,2015,-7.93329291009523,2.235163779408684,W. Europe & N. America
Germany,2025,-7.834939524169937,2.22842964664196,W. Europe & N. America
Guatemala,1975,3.8259539160766445,-1.8746822164943313,Latin America & Caribbean
Guatemala,1985,3.635832742218002,-1.5683000372340774,Latin America & Caribbean
Guatemala,1995,2.345094398025497,2.8235807134220505,Latin America & Caribbean
Guatemala,2005,2.359444573883041,3.050118179471245,Latin America & Caribbean
Guatemala,2015,2.2590723786392055,2.9857047511646653,Latin America & Caribbean
Guatemala,2025,2.303970292572006,3.1212621642658616,Latin America & Caribbean
Iran,1975,1.5348692092933498,-2.914203910677681,Middle East & N. Africa
Iran,1985,1.2755623314418636,-2.9423473165919876,Middle East & N. Africa
Iran,1995,1.193838522199615,-2.8949959562709426,Middle East & N. Africa
Iran,2005,1.112762153510078,-2.9320833967616653,Middle East & N. Africa
Iran,2015,1.146231010917648,-2.8403837965419387,Middle East & N. Africa
Iran,2025,1.20901936328791,-2.9004371450831985,Middle East & N. Africa
Iraq,1975,2.9481755051650844,-3.0342614935329055,Middle East & N. Africa
Iraq,1985,4.2686988863983,-3.3460171507289505,Middle East & N. Africa
Iraq,1995,4.2952358279266205,-3.389874725191841,Middle East & N. Africa
Iraq,2005,3.1980590376891933,0.372191639096489,Middle East & N. Africa
Iraq,2015,3.129975751403793,0.4096805764744187,Middle East & N. Africa
Iraq,2025,2.938429907325729,0.36301013961528783,Middle East & N. Africa
Ireland,1975,-6.023922964569107,1.261329428703537,W. Europe & N. America
Ireland,1985,-6.133487745758072,1.3178032426545525,W. Europe & N. America
Ireland,1995,-6.143718763824478,1.4387389583895112,W. Europe & N. America
Ireland,2005,-6.211792990203873,1.4406586898872757,W. Europe & N. America
Ireland,2015,-6.196663900848404,1.4788623465607071,W. Europe & N. America
Ireland,2025,-6.289715334411636,1.7957214428493882,W. Europe & N. America
Italy,1975,-4.792113825317398,1.759824605138054,W. Europe & N. America
Italy,1985,-4.753157660003677,1.854625971467247,W. Europe & N. America
Italy,1995,-4.784993216033951,1.9908355785915757,W. Europe & N. America
Italy,2005,-4.798119112487808,1.8925313664982224,W. Europe & N. America
Italy,2015,-4.697894617553726,1.8884966088840867,W. Europe & N. America
Italy,2025,-4.695121809478775,1.8364406539509202,W. Europe & N. America
Jordan,1975,0.8250745538511121,-2.1891713426997756,Middle East & N. Africa
Jordan,1985,0.40172334051512115,-1.6991603659083938,Middle East & N. Africa
Jordan,1995,0.27975453472517364,-1.4386360929896926,Middle East & N. Africa
Jordan,2005,0.28313203192137115,-1.2927279756953811,Middle East & N. Africa
Jordan,2015,0.31212516165159576,-1.2414248274257278,Middle East & N. Africa
Jordan,2025,0.31701065636061065,-1.3305166052272415,Middle East & N. Africa
Latvia,1995,-2.9204361882171788,1.428699897081604,E. Europe & Central Asia
Latvia,2005,-4.534700438018814,2.1015456630298996,E. Europe & Central Asia
Latvia,2015,-4.660031839843765,2.187336833626976,E. Europe & Central Asia
Latvia,2025,-4.716612383361832,2.1323108984539414,E. Europe & Central Asia
