"country_name","PC1","PC2","PC3","PC4","PC5","PC1_pct","PC2_pct","PC3_pct","PC4_pct","PC5_pct"
"Sri Lanka",5.74788258106323,-1.13594182259763,-0.0188651502633003,-1.98244544426182,-1.4354666250866,70.9,34.6,49.2,19.6,28.5
"Eswatini",-10.3256551182421,-0.820887637913774,-1.3072277443485,-2.29501744439551,-1.07406638957209,14,39.7,31.3,14,33
"Tajikistan",-15.0297675636763,-4.4276851588573,2.25170209610442,-2.2727053306523,3.30445864529811,6.1,11.2,82.1,14.5,93.9
"Togo",-3.72985798224289,1.88139528334597,1.60093086721351,0.330764235515118,-3.17090985523814,35.8,68.2,73.7,60.9,7.8
"Trinidad and Tobago",7.97263091607325,-1.27062972074523,-3.50019934108949,0.237787943722002,2.19763473067985,78.2,32.4,10.6,59.2,84.4
"Turkmenistan",-16.8481153617382,-7.6730156401805,0.275890166206577,-2.63698468614654,2.97228349551113,3.9,4.5,54.2,8.4,92.7
"Palestine/Gaza",-12.9946883870741,2.54784047975877,-2.73544869301336,10.8077320976921,3.80908372487258,10.1,74.9,16.8,100,95.5
"Somaliland",-2.42995628217958,-0.339348323704109,-3.31060696973253,-0.918123578045552,4.25564922658707,38,44.7,11.7,44.7,97.8
"Uzbekistan",-8.9447814978179,-4.58105046864805,1.33396459685797,-2.54282275178527,0.294894769459975,17.3,10.1,70.4,10.6,54.7
"Austria",11.4797129470194,-1.00458856711456,1.23144401388473,-0.117292606010714,0.59936371571385,89.4,36.3,68.2,56.4,62.6
"Bahrain",-9.82188544330532,-0.969285597792401,2.12504455809848,2.26122821735866,-0.740694405891358,15.1,37.4,80.4,86,38
"Barbados",6.89707680157949,-4.55306826715396,-4.77899079202343,0.258916146457244,4.86785345986495,74.9,10.6,5,59.8,99.4
"Belgium",14.0686010586332,-1.69919815257795,-0.174686614130239,1.83206564211046,-0.124336992201408,95.5,27.9,44.7,82.7,45.8
"Bosnia and Herzegovina",2.57022126843852,3.709714031746,0.537401140953366,0.43106554158903,4.17468411466894,55.3,85.5,58.7,62.6,97.2
"Bulgaria",5.88328479436361,2.97257654675201,2.26230491166421,-1.27421801027777,1.25637218191422,72.1,79.3,83.2,36.3,71.5
"Comoros",-6.67480369873738,3.08320148031205,-1.28376770494782,-1.42896314507083,-0.397189973261435,26.8,79.9,31.8,31.3,43
"Croatia",7.2164085152828,-0.450394143257654,0.769474131721658,-0.347610007902415,2.572083201782,77.1,44.1,60.9,52.5,88.3
"Cuba",-12.055105777405,-6.94309265060958,3.39182590147781,-1.45436617569198,1.22366144066154,10.6,5.6,89.9,30.7,70.4
"Cyprus",8.73008261965885,-0.280818628536407,0.046184354868465,-0.398689935324417,-0.818553691198909,80.4,45.3,50.8,51.4,36.9
"Czechia",12.8046087618167,-0.594151485653969,1.36697423435292,1.35452478301895,0.27224968873073,93.9,41.9,72.1,75.4,53.6
"Denmark",17.1010016767052,-4.94119502786533,0.171218153579531,4.56142080869962,-0.642849428817885,100,8.4,52,96.1,40.8
"Equatorial Guinea",-15.195677649046,-1.82640290255664,-0.919526527553013,-3.18626302912888,1.65215802228127,5.6,26.8,34.6,1.7,78.8
"Estonia",14.5080741240393,-4.01437468215627,1.4750894224993,3.33349556293002,0.365559623436265,97.2,14,72.6,91.1,57.5
"Fiji",2.08425855923391,-1.66896502466138,-1.71641743948707,0.0506614110892249,0.351832784946547,53.6,28.5,26.3,57.5,55.9
"Finland",14.139720036372,-2.62825515179731,0.285075831887299,1.7524731520229,0.357757359195173,96.1,22.3,54.7,81,57
"Greece",8.67815826454662,-1.403368673641,2.45854514794989,-1.16957071741608,0.347422106285854,79.9,30.7,83.8,40.2,55.3
"Guyana",1.1391986775132,1.48037688972616,-1.61783775726913,-2.26017179638848,1.54916106270746,50.3,60.3,29.6,15.1,76.5
"Hong Kong",-4.83055545413718,-3.8309479391251,2.76292685061663,3.88242394536399,2.49552673309472,33.5,14.5,87.2,93.3,87.7
"Iceland",12.2123237524725,-3.79879249581124,-1.69075971964813,1.59961514184872,1.21290536215592,91.1,15.1,26.8,78.8,69.8
"Israel",8.3068488716098,0.987575439252009,5.15288569905648,2.34876408174919,-0.575661873863099,79.3,57.5,96.6,87.2,41.3
"Kuwait",-6.95254331907043,-3.38407892288047,-5.36219562175129,4.40083682407218,-4.50747554280762,25.1,16.2,2.8,95.5,1.7
"Lithuania",11.2092437751479,-2.06583003929331,0.918301892111225,0.949455773671229,0.547702539614733,88.3,23.5,62,69.8,61.5
"Luxembourg",14.2846316174787,-4.68583796812659,-0.990146164130194,1.19585667510804,-1.60106386061049,96.6,9.5,34.1,72.6,24.6
"North Macedonia",2.68901859110455,2.67250302363269,1.24461094860838,-1.17269195209471,3.49267491316202,55.9,76,68.7,39.7,95
"Malaysia",1.8956563795224,-1.55322149807301,1.34835290531164,0.552684453709642,-0.548608349299086,52.5,29.6,70.9,64.8,41.9
"Malta",9.10825578591761,-1.27767315257997,-0.121819234332919,-0.0596184403893324,2.07340496024079,81,31.8,46.4,57,82.1
"Mauritius",6.6974788000929,-0.859711943087966,-1.89229561023226,-1.58007191227632,-2.13987362725709,74.3,38.5,24,29.1,17.3
"Montenegro",6.98248029861659,2.62852818034698,1.21954339824588,0.26696578072635,2.48191072741982,76.5,75.4,67,60.3,86.6
"New Zealand",12.3946203290424,-2.91038840631026,1.07674917381025,1.7532300852564,1.91116852713879,92.2,20.1,64.2,81.6,81.6
"Norway",16.0500552637976,-4.08869804868468,-0.69190039749957,4.13844539647167,0.828305819854539,98.9,12.3,36.3,95,66.5
"Oman",-7.57108439772749,-7.82595421119808,-3.88781024083842,-2.02712059866136,-2.06581628605325,22.9,3.9,7.3,18.4,19
"Paraguay",0.940466859590991,3.78484876957778,-2.76343643724347,-2.94590869274374,2.65895839988906,49.2,86,15.6,5,88.8
